statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,1740,1128.24000000001,219,39.1,0.4,0.175999999999999,0,-0.1,13177,63680,7
00002,819,200.035000000003,34.1209999999999,12.8,0.1,-0.1,-0.2,-0.3,13194,63680,7
