statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,15.3,14.9,14.3,13.6,9.9,9.2,8.8,7.7,12188,00300,3
00002,14.9,14.3,13.8,13.1,9.2,8.7,7.9378,5.1,12190,00300,3
