statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,32.1,28.3,25.9,23.5,3.4,1.7,0.1,-0.1,188442,00010,60
00002,27,25,23.4,21.2,2.7,1,0,-0.2,188410,00010,60
