statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,10.6,10.4,10,9.5,7.4,7.2,6.9,6.7,82170,00400,14
00002,10.4,10.1,9.7,9.2,7.2,7,6.7,6.1,82176,00400,14
