statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,29.6,26,22.6,18.9,2.9,0.8,0.1,-0.1,198472,00010,55
00002,26.9,24,20.2,17,1.9,0.2,0,-0.3,198467,00010,55
