statistic_id,max,q999,q99,q95,q05,q01,q001,min,par
00001,34.79,30.39,24.09,19.39,0.35,-0.31,-0.47,-0.59,00065
00002,27.88,24.17152,20.37,18.03,0.6,-0.09,-0.48,-0.59,00065
