statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,627,557.879999999997,398.4,262,57,53.6,50.92,49,961,00095,2
00002,442,392.079999999998,305.4,236,55,51,44.96,44,961,00095,2
