statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,17.1,16.9,16.4,15.4,9.3,7.9,6.5911,6.2,2912,00300,2
00002,14.4,14.4,14,13.17,4.3,3.486,2.4772,2.2,1387,00300,2
