statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,102,83.5,54.8690000000001,27.965,1.7,1.2,1,0.9,4288,99409,2
00002,90.9,62.6564999999999,39.326,22.3,1.1,0.5,0,0,4288,99409,2
