statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,34800,5557.46999999974,960,608,49,43,37,31,90180,00095,21
00002,24600,3322.92000000016,843.229999999996,508,47,40,33,14,90178,00095,21
