statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,33.9,29.2,25.6,22.7,3.1,0.1,-0.1,-0.1,98729,00010,45
00002,27,24.2,22.5,21.2,1.8,0,-0.1,-0.2,98716,00010,45
