statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,3680,666.608000000022,84,21.2,0.6,0.3,0,0,39057,63680,10
00002,709,209.960000000021,29.9,14.4,0.2,0,0,0,39131,63680,10
