statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,1990,1504.84,1150,440,1.8,0.6,0.2,0.1,26517,63680,16
00002,1500,1294.74999999999,535.75,140,0.7,0.3,0,0,26526,63680,16
