statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,29.7,27.3,24.6,22,2.1,0.2,-0.1,-0.2,169200,00010,58
00002,28.1,25.1,22.8,21,1.1,0,-0.1,-0.3,169165,00010,58
