statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,34.2,19.5,14.5,13.3,4.9,1.2,0.1,0,227665,00300,63
00002,23.7,15.5,13.5,12.7,2.7,0.2,0,0,223287,00300,63
