statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,1270,335.466000000009,157.71,52,5.6,3.2,1.9645,1.5,2730,63680,2
00002,114,53.0759999999991,34,24.045,2.3,1.2,0.4,0.1,2732,63680,2
