statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,29.1,20.7,15,13.1,3.2,0.4,0,0,95624,00300,15
00002,22.9,16.8,13.3,12.5,0.9,0.1,0,0,91164,00300,15
