statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,17.1,16.8,16.1,15.1,8.9,8,6.7697,6.2,5698,00300,5
00002,14.4,14.3,13.6,12.2,5.2,4,3,2.2,4160,00300,5
