statistic_id,max,q999,q99,q95,q05,q01,q001,min,n,par,n_stats
00001,9.3,9.3,9.2,9,7.9,7.8,7.7,7.7,1858,00400,1
00002,9,9,8.8,8.6,7.6,7.5,7.2,7.2,1861,00400,1
